企业 id,开始经�?开始时�?开始纬�?用户id,结束经度,结束纬度,结束时间,,,
-,113.8961353,"	2021-08-31 01:09:51.0",22.5555604,33bf8c37d401d0aae09fb0**********,113.9028951,22.56070943,"	2021-08-31 01:16:38.0"
-,113.8232799,"	2021-08-31 01:09:50.0",22.7240332,7595678ea4e844ceabc039**********,113.8211358,22.73262459,"	2021-08-31 01:19:35.0"
-,113.8932313,"	2021-08-31 01:09:48.0",22.5596894,6300e9d082f58a1cc25e25**********,113.9028112,22.56067702,"	2021-08-31 01:16:34.0"
-,113.8075971,"	2021-08-31 01:09:45.0",22.730453,a344b60ea1603c62aba826**********,113.8085268,22.74437482,"	2021-08-31 01:22:01.0"
-,113.9916385,"	2021-08-31 01:09:42.0",22.6680637,dff21746a354e0c631ede6**********,113.9996189,22.67796593,"	2021-08-31 01:20:30.0"
-,113.7986089,"	2021-08-31 01:09:40.0",22.6625119,991254632c9b83c68d9e7c**********,113.7966096,22.67424292,"	2021-08-31 01:19:51.0"
-,113.8871197,"	2021-08-31 01:09:39.0",22.5673242,f78195c60da669f363d7ab**********,113.8788509,22.56793183,"	2021-08-31 01:17:43.0"
-,113.8433038,"	2021-08-31 01:09:31.0",22.7664838,f10741483150bc73a6e41b**********,113.8396199,22.76402874,"	2021-08-31 01:15:50.0"
-,113.8409462,"	2021-08-31 01:09:31.0",22.7689922,b94ede8d0e07b12d575b5f**********,113.844262,22.77320315,"	2021-08-31 01:15:39.0"
-,113.8452927,"	2021-08-31 01:09:30.0",22.7573674,9f03ce63d1db9af9930d50**********,113.8374742,22.76453077,"	2021-08-31 01:15:44.0"
-,114.0623372,"	2021-08-31 01:09:19.0",22.51206,120bd2f2a9c213534bf9ef**********,113.920651,22.584787,"	2021-08-31 01:12:28.0"
-,113.8823739,"	2021-08-31 01:09:16.0",22.5545654,011988bf501dd97f1a06d6**********,113.8930413,22.56342374,"	2021-08-31 01:19:57.0"
-,113.78654,"	2021-08-31 01:09:14.0",22.7105987,c0fa1f3fe20e0ea2913ce4**********,113.791115,22.71330547,"	2021-08-31 01:16:30.0"
-,113.8803952,"	2021-08-31 01:09:10.0",22.5545893,f5167cf70d1ec6f0ceee1b**********,113.8935594,22.56197944,"	2021-08-31 01:21:47.0"
-,113.862695,"	2021-08-31 01:09:09.0",22.8013463,2b6163100ca3df5da2cd79**********,113.8661892,22.80083972,"	2021-08-31 01:21:26.0"
-,114.1155737,"	2021-08-31 01:09:07.0",22.5450727,cc1a4727f2bab2705a3c5c**********,114.112606,22.54884074,"	2021-08-31 01:16:23.0"
-,113.9111928,"	2021-08-31 01:09:06.0",22.5121056,d70427968dbb426264d39c**********,113.9148555,22.51515248,"	2021-08-31 01:14:29.0"
-,114.0870307,"	2021-08-31 01:09:04.0",22.5488298,c635a1f06cc763ad8b6b0b**********,113.925977,22.582112,"	2021-08-31 01:12:56.0"
-,113.8525054,"	2021-08-31 01:09:04.0",22.7357804,b32707f513e57694a1e7a7**********,113.8534447,22.74235599,"	2021-08-31 01:15:25.0"
-,114.271162,"	2021-08-31 01:09:01.0",22.733711,ac8ac0aa67136c213e6258**********,114.270672,22.733462,"	2021-08-31 01:09:56.0"
-,114.056641,"	2021-08-31 01:08:59.0",22.533405,92052dca7685244692f02b**********,114.045786,22.529848,"	2021-08-31 01:19:13.0"
-,114.0395942,"	2021-08-31 01:08:58.0",22.6493389,ef750c82bac5f98976d54b**********,113.925977,22.582112,"	2021-08-31 01:13:57.0"
-,113.8828445,"	2021-08-31 01:08:55.0",22.5900792,732fea451ac6c383ec4541**********,113.8881525,22.59916364,"	2021-08-31 01:16:22.0"
-,113.8803952,"	2021-08-31 01:08:54.0",22.5545893,50727b843fe04f173f40e2**********,113.8934376,22.56345021,"	2021-08-31 01:20:49.0"
-,113.9391338,"	2021-08-31 01:08:48.0",22.6842103,ba96434d6897fb80a6b538**********,113.936209,22.67248515,"	2021-08-31 01:22:03.0"
-,114.1248405,"	2021-08-31 01:08:46.0",22.5415318,e2d234269457d645e97ae5**********,113.925977,22.582112,"	2021-08-31 01:14:31.0"
-,113.827867,"	2021-08-31 01:08:43.0",22.7178749,85fe69b0c35e319876c12a**********,113.8269332,22.72162427,"	2021-08-31 01:13:00.0"
-,113.8885501,"	2021-08-31 01:08:42.0",22.5615758,e2700b4f5765f222f0d833**********,113.8835955,22.56815018,"	2021-08-31 01:17:03.0"
-,113.8381874,"	2021-08-31 01:08:40.0",22.7642727,21f9c0f5388659886a7d19**********,113.8445657,22.76390694,"	2021-08-31 01:12:09.0"
-,114.1130005,"	2021-08-31 01:08:40.0",22.545156,03aa34efa65939ffbfde4a**********,114.112446,22.54843641,"	2021-08-31 01:13:36.0"
-,114.0607113,"	2021-08-31 01:08:37.0",22.511295,450f98e5d31d1489354e46**********,113.925977,22.582112,"	2021-08-31 01:11:25.0"
-,113.9510514,"	2021-08-31 01:08:36.0",22.7595909,d4adcbb772ffe27258222a**********,113.9522535,22.76503046,"	2021-08-31 01:20:02.0"
-,113.8516352,"	2021-08-31 01:08:35.0",22.7651788,df17e54e917cd3bb143822**********,113.8573654,22.76566253,"	2021-08-31 01:13:24.0"
-,113.949181,"	2021-08-31 01:08:29.0",22.516291,582263df9c3c7dd6d800b7**********,113.929342,22.507764,"	2021-08-31 01:21:24.0"
-,113.8138298,"	2021-08-31 01:08:28.0",22.745443,3a8419a65e08f1ec9cb1b4**********,113.8140441,22.74081471,"	2021-08-31 01:21:40.0"
-,114.0418975,"	2021-08-31 01:08:27.0",22.6445814,593f9dd8dd3285ac8a0f8a**********,113.925977,22.582112,"	2021-08-31 01:14:28.0"
-,113.900536,"	2021-08-31 01:08:26.0",22.5729329,d1f65ebdbe808c54253bbf**********,113.8889434,22.57839311,"	2021-08-31 01:20:33.0"
-,113.9871389,"	2021-08-31 01:08:25.0",22.6877384,7fb56001ad336aabe434ef**********,113.925977,22.582112,"	2021-08-31 01:22:31.0"
-,113.8453529,"	2021-08-31 01:08:23.0",22.7585297,eb3778bf8aca6a07da3c64**********,113.8454482,22.76111587,"	2021-08-31 01:10:56.0"
-,113.8823739,"	2021-08-31 01:08:22.0",22.5545654,b25ab894b8c2624ab4d28e**********,113.8935213,22.56185738,"	2021-08-31 01:17:55.0"
-,113.9965492,"	2021-08-31 01:08:22.0",22.6762432,f147501c6006d6aa7649b9**********,113.925977,22.582112,"	2021-08-31 01:09:04.0"
-,113.787019,"	2021-08-31 01:08:19.0",22.7105721,cb63ec134fd539647b4e4b**********,113.7930413,22.71161836,"	2021-08-31 01:22:08.0"
